PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Embarked,TicketNum,TicketStr,FamilySize,Title
1,0,3,1,22.0,1,0,2,21171,1,1,5
2,1,1,0,38.0,1,0,0,17599,10,1,6
3,1,3,0,26.0,0,0,2,3101282,27,0,3
4,1,1,0,35.0,1,0,2,113803,9,1,6
5,0,3,1,35.0,0,0,2,373450,9,0,5
6,0,3,1,29.684746478873237,0,0,1,330877,9,0,5
7,0,1,1,54.0,0,0,2,17463,9,0,5
8,0,3,1,2.0,3,1,2,349909,9,4,2
9,1,3,0,27.0,0,2,2,347742,9,2,6
10,1,2,0,14.0,1,0,0,237736,9,1,6
11,1,3,0,4.0,1,1,2,9549,11,2,3
12,1,1,0,58.0,0,0,2,113783,9,0,3
13,0,3,1,20.0,0,0,2,2151,1,0,5
14,0,3,1,39.0,1,5,2,347082,9,6,5
15,0,3,0,14.0,0,0,2,350406,9,0,3
16,1,2,0,55.0,0,0,2,248706,9,0,6
17,0,3,1,2.0,4,1,1,382652,9,5,2
18,1,2,1,29.684746478873237,0,0,2,244373,9,0,5
19,0,3,0,31.0,1,0,2,345763,9,1,6
20,1,3,0,29.684746478873237,0,0,0,2649,9,0,6
21,0,2,1,35.0,0,0,2,239865,9,0,5
22,1,2,1,34.0,0,0,2,248698,9,0,5
23,1,3,0,15.0,0,0,1,330923,9,0,3
24,1,1,1,28.0,0,0,2,113788,9,0,5
25,0,3,0,8.0,3,1,2,349909,9,4,3
26,1,3,0,38.0,1,5,2,347077,9,6,6
27,0,3,1,29.684746478873237,0,0,0,2631,9,0,5
28,0,1,1,19.0,3,2,2,19950,9,5,5
29,1,3,0,29.684746478873237,0,0,1,330959,9,0,3
30,0,3,1,29.684746478873237,0,0,2,349216,9,0,5
31,0,1,1,40.0,0,0,0,17601,10,0,8
32,1,1,0,29.684746478873237,1,0,0,17569,10,1,6
33,1,3,0,29.684746478873237,0,0,1,335677,9,0,3
34,0,2,1,66.0,0,0,2,24579,4,0,5
35,0,1,1,28.0,1,0,0,17604,10,1,5
36,0,1,1,42.0,1,0,2,113789,9,1,5
37,1,3,1,29.684746478873237,0,0,0,2677,9,0,5
38,0,3,1,21.0,0,0,2,2152,1,0,5
39,0,3,0,18.0,2,0,2,345764,9,2,3
40,1,3,0,14.0,1,0,0,2651,9,1,3
41,0,3,0,40.0,1,0,2,7546,9,1,6
42,0,2,0,27.0,1,0,2,11668,9,1,6
43,0,3,1,29.684746478873237,0,0,0,349253,9,0,5
44,1,2,0,3.0,1,2,0,2123,21,3,3
45,1,3,0,19.0,0,0,1,330958,9,0,3
46,0,3,1,29.684746478873237,0,0,2,23567,19,0,5
47,0,3,1,29.684746478873237,1,0,1,370371,9,1,5
48,1,3,0,29.684746478873237,0,0,1,14311,9,0,3
49,0,3,1,29.684746478873237,2,0,0,2662,9,2,5
50,0,3,0,18.0,1,0,2,349237,9,1,6
51,0,3,1,7.0,4,1,2,3101295,9,5,2
52,0,3,1,21.0,0,0,2,39886,0,0,5
53,1,1,0,49.0,1,0,0,17572,10,1,6
54,1,2,0,29.0,1,0,2,2926,9,1,6
55,0,1,1,65.0,0,1,0,113509,9,1,5
56,1,1,1,29.684746478873237,0,0,2,19947,9,0,5
57,1,2,0,21.0,0,0,2,31026,4,0,3
